Project,Capacity (Mt),Production (Mt),Workforce,Coal Field,
Sikni Coal Mine,,0.23,472,Auranga,
Tubed Coal Mine,6,,1163,Auranga,
Jalipa Lignite Block Coal Mine,,1.48,476,Barmer,
Kapurdi Coal Mine,,4.64,636,Barmer,
Gouthamkhani Coal Mine,4,0.66,357,Bhadradri Kothagudem,
Jawaharkhani 5 Coal Mine,2.5,1.88,613,Bhadradri Kothagudem,
JVR II Coal Mine,5,4.76,1073,Bhadradri Kothagudem,
Koyagudem Coal Mines,,3.44,692,Bhadradri Kothagudem,
Balrampur Coal Mine,0.84,0.1,858,Bisrampur,
Bhatgaon Coal Mine,2,0.23,653,Bisrampur,
Jagannathpur Coal Mine,3.5,2.26,217,Bisrampur,
Nawapara Coal Mine,0.36,0.12,869,Bisrampur,
AKK Coal Mine,,4.25,678,Bokaro,
Bartunga Hill Coal Mine,,0.02,607,Bokaro,
Bermo Coal Mine,2.5,0.05,,Bokaro,
Bokaro Opencast Coal Mine,0.8,0.31,472,Bokaro,
Jarangdih Coal Mine,0.88,0.87,438,Bokaro,
Kargali Open Cast Coal Mine,0.1,0,,Bokaro,
Kathara Coal Mine,1.9,0.29,477,Bokaro,
Rajhara Coal Mine,0.3,0.01,,Bokaro,
Sarubera Coal Mine,,0.01,,Bokaro,
Selected Dhori Group of Mines,2.25,1.38,535,Bokaro,
Chora UG Coal Mine,0.1,0.03,626,Burdwan,
Purnadih Coal Mine,3,0.73,476,Chatra,
Chirimiri Coal Mine,2,1.65,580,Chirimiri,
Churcha RO Coal Mine,1.35,1.03,817,Chirimiri,
Kurasia Coal Mine,0.5,0.2,814,Chirimiri,
NCPH Coal Mine,1.2,0.24,891,Chirimiri,
Neyveli I A Coal Mine,7,5.051,780,Cuddalore,
Kathautia Coal Mine,0.8,0.03,468,Daltonganj,
Chitra East Coal Mine,2.5,1.5,588,Deoghar,
Amalgamated Keshalpur-West Mudidih (AKWMC) Coal Mine,,4.1,868,Dhanbad,
Block II (BOCP) Coal Mine,,4.1,708,Dhanbad,
Ena Coal Mine,,2.2,715,Dhanbad,
Kuya Coal Mine,,2.65,1197,Dhanbad,
N.T.S.T. Jeenagora Coal Mine,,2.57,754,Dhanbad,
Dhori- Khas Coal Mine,0.166,0.13,551,East Bokaro,
Govindpur Coal Mine,1.2,0.03,522,East Bokaro,
Karo Coal Mine,3.5,2.11,724,East Bokaro,
Konar Coal Mine,8,6.32,965,East Bokaro,
Barsingsar Coal Mine,2.1,2.01,562,Giral,
Giral Coal Mine,1,0.19,522,Giral,
Gurha East Lignite Mine,1,0.67,,Giral,
