Project,Capacity (Mt),Production (Mt),Workforce,Coal Field,State
Sikni Coal Mine,2.5,0.23,472,Auranga,Jharkhand
Tubed Coal Mine,6,10.13175774,1163,Auranga,Jharkhand
Jalipa Lignite Block Coal Mine,4.5,1.48,476,Barmer,Rajasthan
Kapurdi Coal Mine,6,4.64,636,Barmer,Rajasthan
Balrampur Coal Mine,0.84,0.1,858,Bisrampur,Chhattisgarh
Bhatgaon Coal Mine,3,0.23,653,Bisrampur,Chhattisgarh
Jagannathpur Coal Mine,3.5,2.26,217,Bisrampur,Chhattisgarh
Nawapara Coal Mine,0.36,0.12,869,Bisrampur,Chhattisgarh
AKK Coal Mine,5,4.25,678,Bokaro,Jharkhand
Bartunga Hill Coal Mine,1,0.02,607,Bokaro,Jharkhand
Bermo Coal Mine,2.5,0.05,463,Bokaro,Jharkhand
Bokaro Opencast Coal Mine,0.8,0.31,472,Bokaro,Jharkhand
Jarangdih Coal Mine,0.88,0.87,438,Bokaro,Jharkhand
Kargali Open Cast Coal Mine,0.1,0,463,Bokaro,Jharkhand
Kathara Coal Mine,2.5,0.29,477,Bokaro,Jharkhand
Rajhara Coal Mine,0.3,0.01,463,Bokaro,Jharkhand
Sarubera Coal Mine,49.95710736,0.01,463,Bokaro,Jharkhand
Selected Dhori Group of Mines,2.25,1.38,535,Bokaro,Jharkhand
Rani Atari Coal Mine,0.48,0.48,692,Bokaro,Jharkhand
Kedla Coal Mine,0.7,0.03,463,Bokaro,Jharkhand
Tapin South Coal Mine,2,1.1,603,Bokaro,Jharkhand
West Bokaro Coal Mine,49.95710736,5.1,836,Bokaro,Jharkhand
Dhori- Khas Coal Mine,0.166,0.13,551,Bokaro,Jharkhand
Govindpur Coal Mine,1.2,0.03,522,Bokaro,Jharkhand
Karo Coal Mine,3.5,2.11,724,Bokaro,Jharkhand
Konar Coal Mine,8,6.32,965,Bokaro,Jharkhand
Purnadih Coal Mine,3,0.73,476,Chatra,Jharkhand
Chirimiri Coal Mine,2,1.65,580,Chirimiri,Chhattisgarh
Churcha RO Coal Mine,1.35,1.03,817,Chirimiri,Chhattisgarh
Kurasia Coal Mine,0.5,0.2,814,Chirimiri,Chhattisgarh
NCPH Coal Mine,1.2,0.24,891,Chirimiri,Chhattisgarh
Neyveli I A Coal Mine,7,5.051,780,Cuddalore,Tamil Nadu
Kathautia Coal Mine,0.8,0.03,468,Daltonganj,Jharkhand
Barsingsar Coal Mine,2.1,2.01,562,Giral,Rajasthan
Giral Coal Mine,1,0.19,522,Giral,Rajasthan
Gurha East Lignite Mine,1,0.67,463,Giral,Rajasthan
Matasukh & Kasnau Coal Mine,1,0.29,434,Giral,Rajasthan
Giridih Coal Mine,0.23,0.2,478,Giridih,Jharkhand
Gouthamkhani Coal Mine,4,0.66,357,Godavari Valley,Telangana
Jawaharkhani 5 Coal Mine,2.5,1.88,613,Godavari Valley,Telangana
JVR II Coal Mine,5,4.76,1073,Godavari Valley,Telangana
Koyagudem Coal Mines,49.95710736,3.44,692,Godavari Valley,Telangana
Godavarikhani - 7 Coal Mine,49.95710736,0.2,463,Godavari Valley,Telangana
Godavarikhani Coal Mines,1.734,3.46,722,Godavari Valley,Telangana
Godavarikhani-11A Incline Coal Mine,1.75,0.8,463,Godavari Valley,Telangana
Indaram Coal Mine Project,1.5,1.5,539,Godavari Valley,Telangana
Kakatiya Khani Opencast-3 Coal Mine,3,0.78,461,Godavari Valley,Telangana
Kakatiya Khani-1 & 1A Coal Mine,0.6,0.25,844,Godavari Valley,Telangana
